term_name,definition,definition_source,definition_source_text,definition_source_link,related_terms,canonical_uri,widoco_link,source_version,source_timestamp,query_checksum
Lower biological benchmark,Lower benchmark value for a metric used to delineate Wild Salmon Policy status zones (typically the boundary between Red and Amber zones).,Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf,Metric benchmark (subClassOf) [https://w3id.org/gcdfo/salmon#MetricBenchmark],https://w3id.org/gcdfo/salmon#LowerBiologicalBenchmark,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#LowerBiologicalBenchmark,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
Medium confidence,Rapid status confidence category indicating mixed evidence or reliance on trend metrics supplemented by some abundance information.,,,,Rapid status confidence scheme (inScheme) [https://w3id.org/gcdfo/salmon#RapidStatusConfidenceScheme],https://w3id.org/gcdfo/salmon#RapidStatusConfidenceMedium,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#RapidStatusConfidenceMedium,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
Metric benchmark,"Benchmark value for a metric that helps delineate status zones (for example, the limit reference point for absolute abundance).","Pestal, G. et al. (2023). State of the Salmon: Rapid Status Assessment Approach for Pacific Salmon under Canada’s Wild Salmon Policy.","Pestal, G. et al. (2023). State of the Salmon: Rapid Status Assessment Approach for Pacific Salmon under Canada’s Wild Salmon Policy.",https://publications.gc.ca/site/eng/9.928944/publication.html,information content entity (subClassOf) [http://purl.obolibrary.org/obo/IAO_0000030],https://w3id.org/gcdfo/salmon#MetricBenchmark,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#MetricBenchmark,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
Natural-origin,Individuals that are born and reared in the wild (natural environment).,DFO. (2018). Review of genetically based targets for enhanced contributions to Canadian Pacific Chinook Salmon populations. DFO Can. Sci. Advis. Sec. Sci. Advis. Rep. 2018/001. (Erratum: October 2023),DFO. (2018). Review of genetically based targets for enhanced contributions to Canadian Pacific Chinook Salmon populations. DFO Can. Sci. Advis. Sec. Sci. Advis. Rep. 2018/001. (Erratum: October 2023),,Salmon origin (broader) [https://w3id.org/gcdfo/salmon#SalmonOrigin]; Salmon Origin Scheme (inScheme) [https://w3id.org/gcdfo/salmon#SalmonOriginScheme],https://w3id.org/gcdfo/salmon#NaturalOrigin,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#NaturalOrigin,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
Population,"A group of organisms of the same species occupying a defined area that interbreed and share a gene pool. In salmon, populations are composed of one or more demes and form the biological basis for Conservation Units.",,,,Organism (subClassOf) [http://rs.tdwg.org/dwc/terms/Organism],https://w3id.org/gcdfo/salmon#Population,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Population,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
population of,Relates a population to the Conservation Unit it belongs to.,,,,,https://w3id.org/gcdfo/salmon#populationOf,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#populationOf,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
Rapid status confidence scheme,Controlled vocabulary for categorical confidence ratings attached to rapid status assessments.,,,,,https://w3id.org/gcdfo/salmon#RapidStatusConfidenceScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#RapidStatusConfidenceScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
Red zone,"A Conservation Unit in the Red zone is undesirable because of the risk of extirpation, and the loss of ecological benefits and salmon production. Changes in status will trigger management actions that will vary depending on species, geographic regions, and cause of the decline.",Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,,Wild Salmon Policy Status Zone (inScheme) [https://w3id.org/gcdfo/salmon#WSPBiologicalStatusZoneScheme],https://w3id.org/gcdfo/salmon#RedZone,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#RedZone,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
Upper benchmark,"An upper-threshold benchmark value, typically delineating the boundary between Amber and Green status zones.",,,,Benchmark Level Scheme (inScheme) [https://w3id.org/gcdfo/salmon#BenchmarkLevelScheme],https://w3id.org/gcdfo/salmon#UpperBenchmark,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#UpperBenchmark,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
Upper biological benchmark,Upper benchmark value for a metric used to delineate Wild Salmon Policy status zones (typically the boundary between Amber and Green zones).,Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf,Metric benchmark (subClassOf) [https://w3id.org/gcdfo/salmon#MetricBenchmark],https://w3id.org/gcdfo/salmon#UpperBiologicalBenchmark,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#UpperBiologicalBenchmark,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
Wild Salmon Policy,"Canada's Wild Salmon Policy framework for conserving and managing wild Pacific salmon, including integrated status assessments and biological benchmarks for Conservation Units.",,,,Policy framework (broader) [https://w3id.org/gcdfo/salmon#PolicyFramework]; Policy framework scheme (inScheme) [https://w3id.org/gcdfo/salmon#PolicyFrameworkScheme],https://w3id.org/gcdfo/salmon#WildSalmonPolicy,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#WildSalmonPolicy,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
Wild Salmon Policy biological status zone,"The biological status of a Conservation Unit (CU) will normally be based on the abundance and distribution of spawners in the unit, or proxies thereof. For each CU, higher and lower benchmarks will be defined that will delimit three status zones: Green, Amber, and Red. As spawner abundance decreases, a CU moves towards the lower status zone, and the extent of management intervention for conservation purposes will increase.",Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,,Wild Salmon Policy Status Zone (inScheme) [https://w3id.org/gcdfo/salmon#WSPBiologicalStatusZoneScheme],https://w3id.org/gcdfo/salmon#WSPBiologicalStatusZone,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#WSPBiologicalStatusZone,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
Wild Salmon Policy Status Zone,Controlled vocabulary for biological status zones under the Wild Salmon Policy.,,,,,https://w3id.org/gcdfo/salmon#WSPBiologicalStatusZoneScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#WSPBiologicalStatusZoneScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
WSP rapid status,"The WSP rapid status assessment approach builds on previously completed WSP integrated status assessments. The WSP rapid status approach ensures statuses are scientifically objective, consistent, and comparable across BC/Yukon CUs. This approach is also relatively easy to implement, applicable to data rich and data poor CUs, and can be updated annually.","Pestal, G., MacDonald, B. L., Grant, S. C. H., and Holt, C. A. (2023). State of the Salmon: rapid status assessment approach for Pacific salmon under Canada’s Wild Salmon Policy. Can. Tech. Rep. Fish. Aquat. Sci. 3570: xiv + 200 p.","Pestal, G., MacDonald, B. L., Grant, S. C. H., and Holt, C. A. (2023). State of the Salmon: rapid status assessment approach for Pacific salmon under Canada’s Wild Salmon Policy. Can. Tech. Rep. Fish. Aquat. Sci. 3570: xiv + 200 p.",,,https://w3id.org/gcdfo/salmon#WSPRapidStatus,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#WSPRapidStatus,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
WSP Rapid Status Algorithm threshold,Threshold value used by the rapid-status algorithm that may differ from expert-defined benchmarks to incorporate precautionary buffers.,DFO (2024). Rapid Status Approximations for Pacific Salmon Derived from Integrated Expert Assessments under Canada’s Wild Salmon Policy. CSAS Science Response 2024/004.,DFO (2024). Rapid Status Approximations for Pacific Salmon Derived from Integrated Expert Assessments under Canada’s Wild Salmon Policy. CSAS Science Response 2024/004.,https://www.dfo-mpo.gc.ca/csas-sccs/Publications/ScR-RS/2024/2024_004-eng.pdf,information content entity (subClassOf) [http://purl.obolibrary.org/obo/IAO_0000030],https://w3id.org/gcdfo/salmon#WSPRapidStatusAlgorithmThreshold,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#WSPRapidStatusAlgorithmThreshold,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
