column,value,count,proposed_term,proposed_scheme
Spn_TrendVsAbd,Same,30,Same,:SpnTrendvsabdScheme
Spn_TrendVsAbd,Different,19,Different,:SpnTrendvsabdScheme
StatusGroup,SK-Fraser,24,SkFraser,:StatusScheme
StatusGroup,CK-Fraser,17,CkFraser,:StatusScheme
StatusGroup,CK-Yukon,12,CkYukon,:StatusScheme
StatusGroup,CO-Fraser_Int,5,CoFraserInt,:StatusScheme
StatusGroup,CO-Fraser_Low,2,CoFraserLow,:StatusScheme
StatusGroup,CK-Columbia,1,CkColumbia,:StatusScheme
StatusGroup,CK-Inner_South_Coast,1,CkInnerSouthCoast,:StatusScheme
StatusGroup,CM-Fraser_Lower,1,CmFraserLower,:StatusScheme
StatusGroup,PK_Fraser,1,PkFraser,:StatusScheme
StatusGroup,SK-Okanagan,1,SkOkanagan,:StatusScheme
StatusProcess_AssessmentContact,Fraser-BCI Sockeye Analytical Program Lead,21,FraserBciSockeyeAnalyticalProgramLead,:StatusScheme
StatusProcess_AssessmentContact,Yukon River Senior Biologist (Adam O'Dell),12,YukonRiverSeniorBiologistAdamODell,:StatusScheme
StatusProcess_AssessmentContact,Athena Ogden (DFO),1,AthenaOgdenDfo,:StatusScheme
StatusProcess_AssessmentContact,Dylan Glaser (DFO),1,DylanGlaserDfo,:StatusScheme
StatusProcess_AssessmentStage,Complete,64,Complete,:StatusScheme
StatusProcess_AssessmentStage,??? REMOVED???,1,Removed,:StatusScheme
StockMgmtUnit,FRASER SOCKEYE SALMON - EARLY SUMMER,10,FraserSockeyeSalmonEarlySummer,:StockmgmtunitScheme
StockMgmtUnit,YUKON CHINOOK SALMON,9,YukonChinookSalmon,:StockmgmtunitScheme
StockMgmtUnit,FRASER SOCKEYE SALMON - SUMMER,7,FraserSockeyeSalmonSummer,:StockmgmtunitScheme
StockMgmtUnit,FRASER SOCKEYE SALMON - LATE,6,FraserSockeyeSalmonLate,:StockmgmtunitScheme
StockMgmtUnit,FRASER SUMMER RUN 52 CHINOOK SALMON,6,FraserSummerRun52ChinookSalmon,:StockmgmtunitScheme
StockMgmtUnit,FRASER SPRING RUN 52 CHINOOK SALMON,5,FraserSpringRun52ChinookSalmon,:StockmgmtunitScheme
StockMgmtUnit,INTERIOR FRASER COHO SALMON,5,InteriorFraserCohoSalmon,:StockmgmtunitScheme
StockMgmtUnit,FRASER SUMMER RUN 41 CHINOOK SALMON,3,FraserSummerRun41ChinookSalmon,:StockmgmtunitScheme
StockMgmtUnit,PORCUPINE CHINOOK SALMON,3,PorcupineChinookSalmon,:StockmgmtunitScheme
StockMgmtUnit,FRASER SPRING RUN 42 CHINOOK SALMON,2,FraserSpringRun42ChinookSalmon,:StockmgmtunitScheme
StockMgmtUnit,LOWER FRASER COHO SALMON,2,LowerFraserCohoSalmon,:StockmgmtunitScheme
StockMgmtUnit,FRASER CHUM SALMON,1,FraserChumSalmon,:StockmgmtunitScheme
StockMgmtUnit,FRASER FALL RUN 41 CHINOOK SALMON,1,FraserFallRun41ChinookSalmon,:StockmgmtunitScheme
StockMgmtUnit,FRASER PINK SALMON - ODD,1,FraserPinkSalmonOdd,:StockmgmtunitScheme
StockMgmtUnit,FRASER SOCKEYE SALMON - EARLY STUART,1,FraserSockeyeSalmonEarlyStuart,:StockmgmtunitScheme
StockMgmtUnit,OKANAGAN CHINOOK SALMON,1,OkanaganChinookSalmon,:StockmgmtunitScheme
StockMgmtUnit,OKANAGAN SOCKEYE SALMON,1,OkanaganSockeyeSalmon,:StockmgmtunitScheme
StockMgmtUnit_Group,Fraser Chinook,18,FraserChinook,:StockmgmtunitGroupScheme
StockMgmtUnit_Group,Fraser Coho,7,FraserCoho,:StockmgmtunitGroupScheme
StockMgmtUnit_Group,Fraser Chum,1,FraserChum,:StockmgmtunitGroupScheme
StockMgmtUnit_Group,Fraser Sockeye,1,FraserSockeye,:StockmgmtunitGroupScheme
StockMgmtUnit_Group,Okanagan Chinook,1,OkanaganChinook,:StockmgmtunitGroupScheme
StockMgmtUnit_MatchRationale,Link to SMU_Group Metadata,64,LinkToSmuGroupMetadata,:StockmgmtunitMatchrationaleScheme
StockMgmtUnit_MatchRationale,NEED RATIONALE,1,NeedRationale,:StockmgmtunitMatchrationaleScheme
